,!1001P1,!1002P2,!1003P3,!1004P4,!1005P5,!1006P6,!1006P7,!1008P8,!1009P9,!1010P10,!1011P11,!1012P12,!1013P13,!1014P14,!1015P15,!1016P16,!1017P17,!1018P18,!1019P19,!1020P20,!1021P21,!1022P22,1031.1M1a,1031.2M1b,1032M2,!1033M3,1034M4,!1035M5,!1036M6,!1038M8,!1042M12,!1043M13,!1044M14,!1045M15,1.1all1,1.2all2,2and,3animal,4.1ashes1,4.2ashes2,5at,7bad,8bark,9because,10.1belly1,10.2belly2,11.1big1,11.2big2,12bird,13bite,18.1breast1,18.2breast2,19breathe,20burn,21child,22claw,28.1day1,28.2day2,28a.1day3,28a.2day4,30dig,31dirty,32dog,33drink,35dull,36dust,37.1ear1,37.2ear2,38.1earth1,38.2earth2,40egg,41.1eye1,41.2eye2,43.1far1,43.2far2,44fat,47.1feather1,47.2feather2,48.1few1,48.2few2,51.1fish1,51.2fish2,52five,53.1float1,53.2float2,55flower,58foot,59.1four1,59.2four2,60freeze,61fruit,62.1full1,62.2full2,63.1give1,63.2give2,64good,65grass,66.1green1,66.2green2,67guts,69.1hand1,69.2hand2,71head,73.1heart1,73.2heart2,79how,80hunt,83ice,85.1in1,85.2in2,87.1knee1,87.2knee2,90laugh,92lefthand,93leg,95.1live1,95.2live2,96liver,97.1long1,97.2long2,98louse,101meat,103mother,104.1mountain1,104.2mountain2,105mouth,106.1name1,106.2name2,108near,112nose,113not,115one,116other,118pierce,119play,121push,122.1rain1,122.2rain2,124righthand,125right,126river,128root,130rotten,131round,132rub,133salt,134sand,136scratch,138see,140sew,142short,143sing,149smell,150smoke,151smooth,154some,155spit,157squeeze,158.1stand1,158.2stand2,159.1star1,159.2star2,160stick,161stone,162straight,163.2suck2,164.1sun1,165swell,167tail,169there,171thick,172thin,175thou,176three,177throw,179.1tongue1,179.2tongue2,179.3tongue3,181.1tree1,181.2tree2,182turn,183two,184vomit,189aus,191what,192.1when1,195who,197wife,198.1wind1,198.2wind2,199.1wing1,199.2wing2,200wipe,202woman,205ayou,207.1yellow1,207.2yellow2,301arm,304autumn,305be_awake,307axle,309bear,310beard,311bee2,312be_born,313.1bow1,313.2bow2,315.1break1,315.2break2,316bronze,317.1brother1,317.2brother2,318brother-in-law,320buy,321.1carry1,321.2carry2,324comb,325cook,327darkness,328daughter,329daughter-in-law,331drive,333eight,334.1elbow1,334.2elbow2,335eyebrow,336father-in-law,338finger,339fly,340follow,341free,342furrow,344goat,345gold,346goose,348grind,349half,353horse,355hundred,356jaw,357join,358king,359knot,362.1leave1,362.2leave2,363lick,365light,367livestock,369middle,370.1milk1,370.2milk2,371mother_in_law,372mouse,373nail,374naked,375navel,376nine,377.1now1,377.1now2,378orphan,381plow,382pour,384remember,385roof,386row,387send,388seven,393silver,394sister,395sister-in-law,396six,398.1son-in-law1,398.2son-in-law2,399spin,400.1spring1,400.2spring2,403.1summer1,403.2summer2,405.1sweet1,405.2sweet2,406ten,407.1thousand1,407.2thousand2,408twenty,409udder,410wasp,414widow,415winter,418wool,419yoke,420.1young1,420.2young2,421tear
Weighting,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
InheritedValue,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hittite,4,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
Armenian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,3,5,4,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,16,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,8,1,1,2,2,3,3,2,1,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
Greek,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,1,3,3,3,2,2,3,3,3,2,2,14,14,3,3,19,3,3,2,2,2,9,9,3,1,2,2,3,3,3,3,2,7,3,3,3,3,2,1,1,3,1,1,2,3,3,1,1,1,1,2,3,3,2,9,2,3,3,3,3,2,3,3,3,1,1,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,2,3,3,3,3,1,1,3,3,3,2,3,2,3,5,3,3,1,1,3,3,3,3,1,1,3,1,3,2,1,9,1,1,2,2,1,19,3,1,1,3,3,3,3,3,3,1,2,16,2,3,3,3,3,3,3,3,2,17,2,2,3,3,3,2,2,4,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,2,2,3,2,3,3,3,2,3,1,3,2,1,1,2,3,3,3,3,3,3,1,10,3,3,2,3,3,3,1,1,3,3,3,3,2,3,3,2,3,3,3,2,3,1,2,2,2
Albanian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,5,4,6,5,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,2,2,4,4,4,4,4,4,4,4,1,12,1,14,4,4,2,3,4,4,2,2,1,1,4,3,3,3,3,4,4,4,4,4,3,3,2,9,9,4,2,2,2,4,4,4,4,3,3,4,4,4,4,3,1,1,4,2,2,2,4,4,1,1,1,1,3,4,4,3,3,3,4,4,4,2,3,4,4,4,1,1,4,4,1,2,3,4,4,4,3,3,13,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,2,2,4,4,4,3,4,3,4,6,4,4,1,1,4,4,4,4,1,1,4,1,4,2,1,10,1,2,3,3,4,4,4,2,4,4,4,4,4,4,4,1,1,17,3,4,4,4,4,4,4,4,3,2,3,3,4,4,4,3,2,5,2,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,15,3,3,4,2,4,4,2,2,4,2,4,2,1,1,3,4,4,4,4,4,4,1,4,4,4,2,3,3,4,2,2,4,4,4,4,2,4,4,3,4,4,2,2,4,2,3,3,3
Tocharian B,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,3,1,1,6,1,1,1,1,3,3,5,5,5,5,5,1,5,4,5,5,3,3,5,5,2,2,5,4,5,5,3,3,3,3,5,5,1,1,5,5,3,3,1,1,5,2,2,4,4,5,3,20,5,5,4,4,2,9,9,5,1,2,2,5,5,5,5,1,1,5,5,5,5,4,1,1,5,3,3,3,5,5,2,2,1,1,4,5,5,2,9,4,5,5,5,2,2,5,5,5,1,1,5,5,3,2,2,5,5,5,3,18,4,5,5,5,5,5,5,11,4,5,5,5,5,5,4,5,5,4,5,5,5,5,1,11,5,5,5,4,5,4,5,6,5,5,1,1,5,2,8,8,3,3,5,1,5,1,1,2,1,1,1,10,5,5,5,3,5,5,5,5,5,5,5,2,3,3,4,5,5,5,5,5,2,2,4,3,2,2,5,3,5,2,3,7,2,5,5,3,5,5,3,5,5,5,5,5,5,4,5,3,3,4,5,5,5,4,4,4,1,5,3,5,5,4,3,12,3,5,2,1,1,4,5,3,5,5,5,5,1,5,2,5,2,4,4,5,3,3,2,17,6,10,2,5,5,2,5,5,4,2,5,3,4,4,11
Vedic,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,6,2,2,1,1,1,1,1,5,5,6,6,1,1,6,5,6,5,6,6,2,2,6,3,2,2,5,4,6,3,1,1,4,4,6,6,1,3,6,7,4,4,1,1,6,2,2,1,17,6,3,21,6,6,5,5,2,9,9,6,1,2,2,6,6,6,6,2,7,6,6,3,3,2,1,6,6,1,9,2,6,6,3,3,1,1,5,6,6,2,9,2,6,6,6,2,2,6,6,1,1,1,6,6,1,9,4,6,6,5,4,4,14,6,6,6,6,6,6,4,5,6,6,6,6,6,5,17,6,15,6,3,3,3,1,1,6,6,6,2,3,5,6,6,3,6,1,1,1,2,9,9,4,4,6,1,3,2,1,11,1,1,1,11,1,20,6,1,1,6,16,5,6,3,3,1,1,4,2,6,6,2,2,6,2,2,2,3,2,2,6,3,6,2,2,3,2,6,6,3,4,6,4,3,6,6,4,6,3,5,6,3,3,2,6,6,6,2,2,2,1,6,2,6,6,2,2,3,1,3,2,12,13,5,6,5,6,6,6,6,1,3,2,6,2,3,17,6,1,1,5,5,5,5,2,3,15,2,3,6,2,2,1,1,5,5,11
Avestan,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,7,2,2,1,1,1,1,1,5,5,6,7,6,6,7,6,7,5,6,6,2,2,6,3,2,2,5,4,7,6,4,4,4,4,6,7,1,4,7,8,5,5,1,1,7,4,4,1,17,6,3,21,7,7,5,5,2,20,20,7,1,2,2,7,7,6,6,2,7,6,7,6,6,5,1,6,6,1,9,2,7,7,4,4,1,1,6,6,7,2,9,2,6,6,7,4,2,6,6,1,1,1,7,6,1,10,4,7,7,6,5,5,14,17,7,7,17,7,7,5,6,7,7,7,3,7,6,6,7,5,3,6,3,3,1,1,7,6,6,5,3,5,7,8,6,7,1,1,1,2,9,15,5,5,7,1,3,2,1,11,1,3,1,11,1,20,7,1,1,6,16,5,7,3,6,1,4,5,2,6,19,6,6,7,2,2,5,4,2,2,7,3,6,2,4,3,2,6,6,3,4,7,4,3,7,7,6,6,6,6,7,3,3,2,6,7,7,2,2,2,1,6,2,6,6,5,4,5,1,3,2,12,12,6,6,5,6,7,7,7,1,3,2,7,2,3,17,7,1,1,2,2,8,8,2,3,15,2,6,7,2,2,1,4,5,5,11
Old Church Slavonic,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,5,2,8,5,2,7,1,1,1,1,5,12,7,8,7,7,8,7,8,6,7,7,4,4,7,6,5,5,6,5,8,3,1,13,1,15,7,8,3,3,8,9,2,2,1,11,3,2,2,5,5,7,3,3,8,8,6,6,2,9,9,8,3,2,2,8,8,6,6,2,8,7,8,3,3,6,2,2,7,1,1,2,8,8,1,1,2,2,7,6,8,2,9,5,6,6,8,2,2,6,19,6,1,1,8,6,1,3,5,8,8,7,6,6,14,7,8,8,7,8,8,2,7,8,8,6,7,5,7,17,8,16,3,7,3,3,3,3,8,6,7,15,3,6,8,6,7,6,1,1,6,2,10,10,1,1,8,1,6,2,1,12,1,1,1,12,6,6,8,1,1,6,6,6,3,6,3,3,5,6,5,7,7,7,7,8,2,2,2,5,4,9,8,5,6,2,2,9,2,7,7,3,4,8,2,6,8,8,7,14,3,1,8,5,3,5,7,8,8,5,5,2,4,7,4,7,7,2,2,13,12,6,5,1,1,7,3,6,3,8,8,8,1,6,2,3,2,3,18,8,1,1,6,6,9,9,2,6,6,4,7,8,2,2,1,1,5,5,4
