,Weighting,InheritedValue,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
!1001P1,50,1,4,1,1,1,1,1,1,1,1,1,2,2,5,6,1,1,1,1,1,1,1,2,3,3
!1002P2,50,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
!1003P3,50,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1
!1004P4,50,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
!1005P5,50,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
!1006P6,50,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
!1006P7,50,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
!1008P8,50,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
!1009P9,50,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
!1010P10,50,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
!1011P11,50,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
!1012P12,50,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
!1013P13,50,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
!1014P14,50,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
!1015P15,50,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
!1016P16,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
!1017P17,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
!1018P18,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1
!1019P19,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
!1020P20,50,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
!1021P21,50,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
!1022P22,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
1031.1M1a,50,-1,1,2,2,2,3,2,2,2,4,5,6,2,1,1,3,2,4,4,5,5,5,7,2,2
1031.2M1b,50,-1,1,2,2,2,3,2,2,2,4,5,6,2,7,7,3,2,4,4,5,5,5,8,2,2
1032M2,50,-1,2,1,1,3,4,1,1,5,6,7,8,9,10,11,12,1,13,14,15,16,17,18,19,20
!1033M3,50,1,1,2,2,3,2,2,2,2,4,5,2,2,1,1,2,6,7,8,9,10,11,12,2,2
1034M4,50,-1,1,4,1,5,3,6,7,8,9,10,11,2,12,13,3,14,15,16,17,18,19,20,21,22
!1035M5,50,1,1,3,2,4,1,2,2,5,6,2,1,1,1,7,1,2,8,9,2,2,10,1,1,1
!1036M6,50,-1,4,5,2,6,1,2,2,2,2,2,3,3,7,8,1,2,2,2,2,2,2,3,3,3
!1038M8,50,-1,3,4,1,5,6,1,1,7,8,1,2,2,9,10,11,1,12,13,1,1,1,2,2,2
!1042M12,50,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3
!1043M13,50,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2
!1044M14,50,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
!1045M15,50,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1.1all1,1,-1,1,2,3,4,3,5,5,5,5,6,6,7,8,8,3,5,5,5,6,6,6,9,10,11
1.2all2,1,-1,1,2,3,4,3,5,5,12,12,6,13,7,8,8,3,5,12,12,6,6,6,9,10,11
2and,1,-1,1,2,3,4,5,6,6,7,7,8,9,10,1,1,11,6,12,13,14,15,8,6,16,10
3animal,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,5,15,16,17,10,10,10,18,19,20
4.1ashes1,1,-1,1,2,3,4,5,1,6,7,7,1,8,9,10,11,5,12,7,7,1,1,1,8,13,14
4.2ashes2,1,-1,1,2,3,4,5,1,6,7,15,16,8,9,10,11,5,12,15,15,16,16,16,8,13,14
5at,1,-1,1,2,3,4,5,6,7,8,8,9,10,9,11,12,5,13,8,14,9,9,9,15,9,9
7bad,1,-1,1,2,3,4,1,5,6,7,8,9,10,11,1,12,13,14,15,16,9,17,9,18,11,19
8bark,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,10,21,22,23
9because,1,-1,1,1,2,3,4,5,5,6,7,8,9,10,11,12,4,13,14,7,15,16,17,18,19,20
